index,substation,voltage,name,lat,lon,zone,info,demand
n4775,s5274,220,Wahle,52.268,10.453,DE,Substation,True
n4776,s5274,380,Wahle,52.248,10.453,DE,Substation,True
n4777,s5276,380,Eltmann,49.939731,10.259857,DE,Substation,True
n4778,s5277,380,IbbenbÃ¼ren,52.315195,7.701416,DE,Brown coal/Lignite,False
n4779,s5278,380,Goldenberg,50.855376,6.730499,DE,Substation,True
n4780,s5279,380,WÃ¼rgassen,51.580483,9.394684,DE,Substation,True
n4781,s5280,220,Frankfurt-SÃ¼dwest,50.158,8.619,DE,Substation,True
n4782,s5280,380,Frankfurt-SÃ¼dwest,50.138,8.619,DE,Substation,True
n4783,s5281,380,Goldisthal,50.406767,11.046753,DE,Hydro pure pump storage,False
n4784,s5282,380,AÃŸlar,50.66252,8.484192,DE,Substation,True
n4785,s5283,380,Schweinfurt,50.131143,10.030518,DE,Substation,True
n4786,s5284,380,Verlautenheide,50.816348,6.04248,DE,Substation,True
n4787,s5285,220,Quint,49.834,6.699,DE,Substation,True
n4788,s5285,380,Quint,49.814,6.699,DE,Substation,True
n4789,s5286,220,Braunschweig Nord,52.306799,10.680084,DE,Substation,True
n4790,s5287,380,Enniger,51.800123,8.245239,DE,Substation,True
n4791,s5288,380,VÃ¶rden,51.76529,9.249115,DE,Substation,True
n4844,s5348,220,Ensdorf,49.303,6.699,DE,Substation,True
n4845,s5348,380,Ensdorf,49.283,6.699,DE,Substation,True
n4846,s5356,380,GKN 2,49.105343,9.330139,DE,Nuclear,False
n4847,s5357,220,Waldlaubershaim,49.953,7.857,DE,Substation,True
n4848,s5357,380,Waldlaubershaim,49.933,7.857,DE,Substation,True
n4852,s5363,380,GroÃŸgartach,49.155664,9.062347,DE,Substation,True
n4854,s5365,380,Bergrheinfeld/West,49.927356,9.908295,DE,Substation,True
n4855,s5368,380,Dettingen,49.979488,8.97995,DE,Substation,True
n5534,s6078,380,GÃ¶rries,53.563152,11.46286,DE,Substation,True
n5535,s6079,220,Pasewalk,53.456985,13.981476,DE,Substation,True
n5536,s6080,380,Perleberg,53.065976,11.946259,DE,Substation,True
n5537,s6081,220,Hennigsdorf,52.652,13.049,DE,Substation,True
n5538,s6081,380,Hennigsdorf,52.632,13.049,DE,Substation,True
n5539,s6082,380,Malchow,52.593038,13.410187,DE,Substation,True
n5540,s6083,220,Vierraden,53.099,14.252,DE,Substation,True
n5541,s6083,380,Vierraden,53.079,14.252,DE,Substation,True
n5542,s6084,380,Rostock,54.14366,12.128323,DE,Substation,True
n5543,s6085,132,Bentwisch,54.077,12.273,DE,Substation,True
n5544,s6085,220,Bentwisch,54.062,12.28166025,DE,Substation,True
n5545,s6085,380,Bentwisch,54.062,12.26433975,DE,Substation,True
n5546,s6086,220,GÃ¼strow,53.769,12.206,DE,Substation,True
n5547,s6086,380,GÃ¼strow,53.749,12.206,DE,Substation,True
n5549,s6088,220,LÃ¼dershagen,54.258807,13.066864,DE,Substation,True
n5550,s6089,380,SiedenbrÃ¼nzow,53.837943,13.141022,DE,Substation,True
n5551,s6090,220,Lubmin,54.123,13.601,DE,Substation,True
n5552,s6090,380,Lubmin,54.103,13.601,DE,Substation,True
n5553,s6092,220,Windpark Bertikow,53.196161,13.768616,DE,Substation,True
n5554,s6093,380,Windpark Putlitz,53.334153,12.253876,DE,Substation,True
n5555,s6096,380,Wessin,53.550099,11.797943,DE,Substation,True
n5556,s6097,380,Stendal West,52.733797,11.759491,DE,Substation,True
n5557,s6098,132,Baltic 1,54.580817,12.54364,DE,Wind farm,False
n5579,s6118,132,Baltic 2,54.715895,12.870483,DE,Wind farm,False
n5591,s6138,220,Windpark Iven,53.792539,13.30307,DE,Substation,True
n5592,s6141,380,Windpark Altentreptow/Nord,53.621838,13.351135,DE,Substation,True
n5596,s6149,380,Altentreptow/SÃ¼d,53.574569,13.216553,DE,Substation,True
n5597,s6150,380,Putlitz/SÃ¼d,53.273426,12.396698,DE,Substation,True
n5598,s6151,380,Parchim/SÃ¼d,53.568861,12.274475,DE,Substation,True
n5599,s6152,380,Gransee,52.844253,13.208313,DE,Substation,True
n5600,s6154,220,Wikinger,54.644439,14.022675,DE,Wind farm,False
n5601,s6155,220,Arkona-Becken SÃ¼dost,54.569673,14.16275,DE,Wind farm,False
n5643,s6190,220,Wilhelmshaven,53.520717,8.125763,DE,Substation,True
n5644,s6191,220,Huntorf,53.108865,8.32489,DE,Fossil gas,False
n5645,s6192,220,Farge,53.103094,8.556976,DE,Brown coal/Lignite,False
n5646,s6193,220,Brokdorf,53.839,9.382,DE,Nuclear,False
n5647,s6193,380,Brokdorf,53.819,9.382,DE,Nuclear,False
n5648,s6197,132,Emden/BorÃŸum,53.43081,7.212524,DE,Substation,True
n5649,s6198,380,Niederlangen,52.793628,7.227631,DE,Substation,True
n5650,s6199,380,Diele,53.057723,7.375946,DE,Substation,True
n5651,s6200,220,Emden,53.384,7.256,DE,Substation,True
n5652,s6200,,Emden,53.364,7.256,DE,Substation,True
n5653,s6201,220,Maade,53.565,8.002,DE,Substation,True
n5654,s6201,380,Maade,53.545,8.002,DE,Substation,True
n5655,s6202,220,Voslapp,53.615321,8.088684,DE,Substation,True
n5656,s6203,220,Cloppenburg Ost,52.918839,8.070831,DE,Substation,True
n5657,s6204,220,Conneforde,53.311,8.122,DE,Substation,True
n5658,s6204,380,Conneforde,53.291,8.122,DE,Substation,True
n5659,s6205,380,Ganderkesee,52.94781,8.466339,DE,Substation,True
n5660,s6206,380,St. HÃ¼lfe,52.591369,8.368835,DE,Substation,True
n5661,s6207,380,Unterweser,53.342353,8.392181,DE,Substation,True
n5662,s6208,220,Blockland,52.990817,8.878326,DE,Substation,True
n5663,s6209,220,Wechold,52.820193,8.982697,DE,Substation,True
n5664,s6210,220,BrunsbÃ¼ttel,53.917,9.242,DE,Substation,True
n5665,s6210,380,BrunsbÃ¼ttel,53.897,9.242,DE,Substation,True
n5666,s6211,220,Sottrum,53.054,9.234,DE,Substation,True
n5667,s6211,380,Sottrum,53.034,9.234,DE,Substation,True
n5668,s6212,380,Wilster,53.907574,9.40567,DE,Substation,True
n5669,s6213,220,Abbenfleth,53.697,9.448,DE,Substation,True
n5670,s6213,380,Abbenfleth,53.677,9.448,DE,Substation,True
n5671,s6214,380,Dollern,53.415262,9.516907,DE,Substation,True
n5672,s6215,220,Itzehoe,53.961742,9.569092,DE,Substation,True
n5673,s6216,380,Stadorf,53.006521,10.395813,DE,Substation,True
n5674,s6217,220,Hamburg-Nord,53.822,9.948,DE,Substation,True
